matches,fare_amount,duration,passenger_count,tpep_pickup_datetime,pickup_latitude,pickup_longitude,cars combined,new fare,driver cost saved,new duration,fare difference,duration difference,profit difference
"[43, 53]",13.0,12.083333333333336,2,2016-06-06 06:46:33,40.744773864746094,-73.98531341552734,2,14,3.020833333333334,16.083333333333336,1.0,4.0,4.020833333333334
"[60, 64]",22.0,23.03333333333333,2,2016-06-06 06:48:25,40.7801170349121,-73.95541381835938,2,14,5.758333333333333,27.03333333333333,-8.0,4.0,-2.241666666666667
"[69, 87]",14.5,13.183333333333334,3,2016-06-06 06:49:33,40.73545455932617,-73.9795913696289,2,21,3.2958333333333334,19.183333333333334,6.5,6.0,9.795833333333334
"[77, 81]",11.5,12.383333333333333,3,2016-06-06 06:52:35,40.77056884765625,-73.96251678466798,2,21,3.095833333333333,18.383333333333333,9.5,6.0,12.595833333333333
"[119, 139]",10.5,9.350000000000001,2,2016-06-06 07:21:02,40.772647857666016,-73.9629364013672,2,14,2.3375000000000004,13.350000000000001,3.5,4.0,5.8375
"[121, 124]",14.5,17.583333333333336,2,2016-06-06 07:21:13,40.75654983520508,-73.9906005859375,2,14,4.395833333333334,21.583333333333336,-0.5,4.0,3.895833333333334
"[19, 22]",13.5,14.3,2,2016-06-06 07:05:53,40.74968338012695,-73.991455078125,2,14,3.575,18.3,0.5,4.0,4.075
"[31, 37]",19.0,24.03333333333333,2,2016-06-06 07:11:12,40.75619888305664,-73.9906692504883,2,14,6.008333333333333,28.03333333333333,-5.0,4.0,1.0083333333333329
"[33, 61]",13.5,10.916666666666668,2,2016-06-06 07:08:50,40.75284194946289,-73.97547149658203,2,14,2.729166666666667,14.916666666666668,0.5,4.0,3.229166666666667
"[38, 71]",15.5,14.25,2,2016-06-06 07:09:36,40.737464904785156,-73.99671936035155,2,14,3.5625,18.25,-1.5,4.0,2.0625
"[88, 92]",36.5,36.2,4,2016-06-06 07:16:08,40.7805061340332,-73.95718383789062,2,28,9.05,44.2,-8.5,8.0,0.5500000000000007
"[95, 113]",13.5,13.6,2,2016-06-06 07:17:29,40.75830078125,-73.96269989013672,2,14,3.4,17.6,0.5,4.000000000000002,3.9
"[0, 10]",18.0,22.55,2,2016-06-06 07:25:14,40.76442337036133,-73.96503448486328,2,14,5.6375,26.55,-4.0,4.0,1.6375000000000002
"[1, 11]",25.5,28.6,2,2016-06-06 07:25:22,40.73224258422852,-74.00656127929686,2,14,7.15,32.6,-11.5,4.0,-4.35
"[105, 149]",17.5,19.599999999999998,4,2016-06-06 07:37:12,40.7513427734375,-73.9940414428711,2,28,4.8999999999999995,27.599999999999998,10.5,8.0,15.399999999999999
"[107, 117]",16.0,19.166666666666668,2,2016-06-06 07:37:33,40.763954162597656,-73.98619842529298,2,14,4.791666666666667,23.166666666666668,-2.0,4.0,2.791666666666667
"[109, 119]",13.5,12.066666666666666,3,2016-06-06 07:37:38,40.73360824584961,-74.00630187988281,2,21,3.0166666666666666,18.066666666666666,7.5,6.0,10.516666666666666
"[112, 115]",37.5,34.0,2,2016-06-06 07:38:09,40.753902435302734,-73.97735595703125,2,14,8.5,38.0,-23.5,4.0,-15.0
"[13, 26]",14.5,14.35,2,2016-06-06 07:26:40,40.789981842041016,-73.97341918945312,2,14,3.5875,18.35,-0.5,4.000000000000002,3.0875
"[14, 33]",21.0,23.516666666666666,2,2016-06-06 07:26:43,40.77804946899415,-73.95904541015625,2,14,5.879166666666666,27.516666666666666,-7.0,4.0,-1.1208333333333336
"[29, 57]",19.5,23.816666666666666,3,2016-06-06 07:32:03,40.75254821777344,-73.9925308227539,2,21,5.954166666666667,29.816666666666666,1.5,6.0,7.454166666666667
"[3, 4]",30.5,30.200000000000003,2,2016-06-06 07:25:25,40.744441986083984,-73.97907257080078,2,14,7.550000000000001,34.2,-16.5,4.0,-8.95
"[41, 61]",23.5,28.766666666666666,3,2016-06-06 07:29:59,40.75846862792969,-73.96584320068358,2,21,7.191666666666666,34.766666666666666,-2.5,6.0,4.691666666666666
